Time,CPU%,RAM%,Disk%,Upload(KB/s),Download(KB/s)
2025-08-12 13:41:54,28.9,89.9,97.0,3.5244140625,3.587890625
2025-08-12 13:41:57,19.7,88.1,97.0,5.259765625,7.8193359375
2025-08-12 13:42:00,21.9,87.9,97.0,0.5654296875,0.7421875
2025-08-12 13:42:03,27.1,88.0,97.0,9.51953125,25.7041015625
2025-08-12 13:42:06,14.3,88.1,97.0,0.1572265625,0.16796875
2025-08-12 13:42:09,12.8,87.9,97.0,0.240234375,0.248046875
2025-08-12 13:42:12,21.9,88.0,97.0,0.0,0.0
2025-08-12 13:42:15,28.5,86.3,97.0,0.0,0.138671875
2025-08-12 13:42:18,13.5,86.4,97.0,0.0732421875,0.083984375
2025-08-12 13:42:21,12.7,86.3,97.0,0.8359375,1.2578125
2025-08-12 13:42:24,25.7,86.3,97.0,7.4775390625,4.79296875
2025-08-12 13:42:27,13.3,86.2,97.0,0.140625,0.064453125
2025-08-12 13:42:30,13.9,86.2,97.0,0.18359375,0.125
2025-08-12 13:42:33,10.3,86.2,97.0,0.146484375,0.16796875
2025-08-12 13:42:36,7.6,86.3,97.0,0.0,0.041015625
2025-08-12 13:42:39,29.3,86.3,97.0,0.240234375,0.248046875
2025-08-12 13:42:42,16.7,86.3,97.0,0.0,0.0
2025-08-12 13:42:45,11.1,86.3,97.0,0.0537109375,0.0
2025-08-12 13:42:48,13.5,86.3,97.0,0.0,0.064453125
2025-08-12 13:42:51,10.8,86.4,97.0,0.0,0.0
2025-08-12 13:42:54,22.8,86.3,97.0,9.86328125,8.4609375
2025-08-12 13:42:57,11.3,86.3,97.0,0.203125,0.1162109375
2025-08-12 13:43:00,12.8,86.3,97.0,1.0859375,1.51171875
2025-08-12 13:43:04,14.9,86.4,97.0,0.3037109375,0.328125
2025-08-12 13:43:07,14.2,86.4,97.0,0.9951171875,0.4111328125
2025-08-12 13:43:10,18.4,86.4,97.0,0.369140625,0.41015625
2025-08-12 13:43:13,12.2,86.5,97.0,0.0537109375,0.064453125
2025-08-12 13:43:16,30.5,86.1,97.0,0.0732421875,0.083984375
2025-08-12 13:43:19,15.4,86.1,97.0,0.0732421875,0.083984375
2025-08-12 13:43:22,12.5,85.9,97.0,0.10546875,0.052734375
2025-08-12 13:43:25,19.6,85.8,97.0,7.0927734375,6.8447265625
2025-08-12 13:43:28,9.8,85.8,97.0,0.0869140625,0.052734375
2025-08-12 13:43:31,11.4,85.8,97.0,0.18359375,0.072265625
2025-08-12 13:43:34,15.1,85.8,97.0,0.0,0.0
2025-08-12 13:43:37,17.4,85.9,97.0,7.9697265625,17.107421875
2025-08-12 13:43:40,25.2,86.1,97.0,0.2109375,0.10546875
2025-08-12 13:43:43,9.1,86.1,97.0,0.2919921875,0.236328125
2025-08-12 13:43:46,25.7,86.1,97.0,0.126953125,0.1484375
2025-08-12 13:43:49,15.2,86.1,97.0,0.146484375,0.16796875
2025-08-12 13:43:52,9.2,86.0,97.0,0.0,0.0
2025-08-12 13:43:55,14.2,86.1,97.0,0.62109375,0.0
2025-08-12 13:43:58,10.0,86.1,97.0,0.400390625,0.1806640625
2025-08-12 13:44:01,17.5,86.1,97.0,8.783203125,6.7587890625
2025-08-12 13:44:04,12.2,86.2,97.0,0.0732421875,0.083984375
2025-08-12 13:44:07,8.0,86.1,97.0,0.16796875,0.306640625
2025-08-12 13:44:10,14.2,86.1,97.0,0.2109375,0.224609375
2025-08-12 13:44:13,10.7,86.1,97.0,0.1865234375,0.18359375
2025-08-12 13:44:16,26.9,86.2,97.0,0.1416015625,0.1376953125
2025-08-12 13:44:19,18.8,86.3,97.0,0.0,0.0
2025-08-12 13:44:22,13.6,85.9,97.0,0.0,0.0
2025-08-12 13:44:25,23.2,85.9,97.0,1.85546875,2.6455078125
2025-08-12 13:44:29,19.8,85.9,97.0,0.1708984375,0.052734375
2025-08-12 13:44:32,19.4,85.8,97.0,0.1728515625,0.15625
2025-08-12 13:44:35,8.9,85.8,97.0,0.1875,0.208984375
2025-08-12 13:44:38,55.0,87.4,97.0,6.7197265625,5.6298828125
2025-08-12 13:44:40,25.5,87.7,97.0,14.5712890625,13.6611328125
2025-08-12 13:44:41,30.3,87.7,97.0,24.4169921875,23.087890625
2025-08-12 13:44:43,19.2,87.6,97.0,16.380859375,71.4541015625
2025-08-12 13:44:44,28.1,87.8,97.0,6.744140625,62.02734375
2025-08-12 13:44:46,23.6,87.8,97.0,8.8349609375,11.2490234375
2025-08-12 13:44:47,27.7,87.7,97.0,8.9609375,12.3056640625
2025-08-12 13:44:49,25.2,87.5,97.0,0.32421875,1.140625
2025-08-12 13:44:50,21.0,87.1,97.0,0.5341796875,0.314453125
2025-08-12 13:44:52,14.8,87.1,97.0,0.3359375,0.23046875
2025-08-12 13:44:53,17.9,87.2,97.0,0.0,0.0
2025-08-12 13:44:55,19.1,87.1,97.0,6.25390625,5.8037109375
2025-08-12 13:44:56,26.6,87.1,97.0,6.294921875,5.8037109375
2025-08-12 13:44:58,24.2,87.4,97.0,1.201171875,1.2119140625
2025-08-12 13:44:59,26.7,87.5,97.0,3.353515625,6.0615234375
2025-08-12 13:45:01,27.5,87.0,97.0,13.8544921875,13.470703125
2025-08-12 13:45:02,31.6,87.1,97.0,11.6611328125,8.662109375
2025-08-12 13:45:04,19.5,87.3,97.0,0.083984375,0.125
2025-08-12 13:45:05,10.2,87.2,97.0,0.083984375,0.083984375
